isin,name,issue,std_perf_exists,points,available_points
ES0142046038,Gesem Agresivo Flexible FI,MISSING_HISTORY,False,,
ES0162296000,Cartera Renta Fija Horizonte 2028 FI,MISSING_HISTORY,False,,
ES0167238023,Estela Global Equities R FI,MISSING_HISTORY,False,,
ES0168799056,Gestión Boutique IV Alclam US Equities FI,MISSING_HISTORY,False,,
FI0008804463,Evli Euro Liquidity B,MISSING_HISTORY,False,,
FR0011170182,Ofi Invest Precious Metals R,MISSING_HISTORY,False,,
FR001400NTN5,Lazard High Yield 2029 EC EUR,MISSING_HISTORY,False,,
IE00B28YJQ65,Polar Capital Funds PLC - Polar Capital Healthcare Opportunities Fund Inc (EUR),MISSING_HISTORY,False,,
IE00B87MS887,Liontrust GF Special Situations Fund A1 Acc EUR,MISSING_HISTORY,False,,
IE00BKSBDB61,Polar Capital Funds PLC - Polar Capital Healthcare Opportunities R Acc (EUR),MISSING_HISTORY,False,,
LU0171296949,BlackRock Global Funds - US Flexible Equity Fund E2 (EUR),MISSING_HISTORY,False,,
LU0224105980,BlackRock Global Funds - Continental European Flexible Fund E2,MISSING_HISTORY,False,,
LU0235308482,Alken Fund - European Opportunities Class R,MISSING_HISTORY,False,,
LU0447425785,SIH FCP - Short Term EUR A Classic,MISSING_HISTORY,False,,
LU0524465977,Alken Fund - European Opportunities Class A,MISSING_HISTORY,False,,
LU0568620727,Amundi Funds - Cash EUR G2 EUR (C),MISSING_HISTORY,False,,
LU0842066523,SIH FCP - Balanced A Classic,MISSING_HISTORY,False,,
LU0861897477,Abante Global Funds Spanish Opportunities Class B,MISSING_HISTORY,False,,
LU0986194024,SIH FCP - Equity Europe A Classic,MISSING_HISTORY,False,,
LU1223084051,Schroder International Selection Fund Global Gold A Accumulation PLN Hedged,MISSING_HISTORY,False,,
LU1298174530,CT (Lux) - Global Multi Asset Income Class AE (EUR Accumulation Shares),MISSING_HISTORY,False,,
LU1697018494,Sigma Investment House FCP - Best JP Morgan Class A EUR,MISSING_HISTORY,False,,
LU1819480192,Echiquier Artificial Intelligence B EUR,HISTORY_TOO_SHORT_OR_INVALID,,8.0,
LU1873127366,JPMorgan Liquidity Funds - EUR Liquidity LVNAV Fund A (acc.),MISSING_HISTORY,False,,
LU1899018870,Sigma Investment House FCP - Best M&G Class A EUR Accumulation,MISSING_HISTORY,False,,
LU1899018953,Sigma Investment House FCP - Best Blackrock Class A EUR Accumulation,MISSING_HISTORY,False,,
LU1899019175,Sigma Investment House FCP - Smart Horizon Class A EUR Accumulation,MISSING_HISTORY,False,,
LU2240056445,Lonvia Mid-Cap Euro Retail,MISSING_HISTORY,False,,
LU2267099674,BlackRock Global Funds - China Bond Fund Class A2 USD (EUR),MISSING_HISTORY,False,,
LU2278574558,Buy & Hold Luxembourg B&H Equity Class 2,MISSING_HISTORY,False,,
LU2278574715,Buy & Hold Luxembourg B&H Flexible Class 2,MISSING_HISTORY,False,,
LU2348336004,FF - Climate Solutions Fund E-ACC-EUR,MISSING_HISTORY,False,,
LU2375689580,Sigma Investment House FCP - Global Equity A EUR Income,MISSING_HISTORY,False,,
LU2697545163,BlackRock Global Funds - Euro High Yield Fixed Maturity Bond Fund 2027 Class A2,MISSING_HISTORY,False,,
LU2743151057,Natixis International Funds (Lux) I - Ossiam Shiller Barclays CAPE® US Fund R/A (EUR),MISSING_HISTORY,False,,
LU2784406998,Morgan Stanley Investment Funds - Emerging Markets Debt Opportunities Fund A,MISSING_HISTORY,False,,
LU3038481936,Hamco SICAV - Global Value R EUR Acc,MISSING_STD_PERF,,,52.0
